Name,Age,Gender,Experience,Joining_Date,Salary,Department_HR,Department_IT,Department_Sales,City_Delhi,City_Mumbai,City_Pune,Year,Month,Years_at_Company,Salary_log
Emp_1,1.0,0,-1.137600741573118,2016-01-11,57999,0.0,0.0,0.0,0.0,1.0,0.0,2016,1,-0.2222222222222222,10.968198289528557
Emp_2,0.736842105263158,1,0.2400568322362892,2012-10-14,84590,0.0,0.0,1.0,0.0,1.0,0.0,2012,10,0.2222222222222222,11.34558315695652
Emp_3,0.368421052631579,1,-0.44877195466841435,2012-12-22,78181,0.0,0.0,0.0,0.0,0.0,1.0,2012,12,0.2222222222222222,11.266794721010012
Emp_4,0.1842105263157895,0,-1.4820151350254698,2009-09-14,35988,0.0,0.0,1.0,0.0,0.0,0.0,2009,9,0.5555555555555556,10.49096861519108
Emp_5,0.5141828254847647,1,0.4122640289624651,2012-02-10,105112,1.0,0.0,0.0,1.0,0.0,0.0,2012,2,0.2222222222222222,11.562791240938022
Emp_6,1.0,1,0.9288856191409928,2017-12-28,102678,1.0,0.0,0.0,0.0,0.0,0.0,2017,12,-0.3333333333333333,11.539362895942716
Emp_7,0.4736842105263157,0,-1.4820151350254698,2010-02-17,30698,1.0,0.0,0.0,0.0,0.0,0.0,2010,2,0.4444444444444444,10.331985359754865
Emp_8,0.5789473684210527,1,0.06784963551011333,2017-10-08,71273,0.0,0.0,0.0,0.0,1.0,0.0,2017,10,-0.3333333333333333,11.174286883517595
Emp_9,0.26315789473684215,1,-0.10435756121606257,2013-12-03,92543,1.0,0.0,0.0,1.0,0.0,0.0,2013,12,0.1111111111111111,11.435439486078382
Emp_10,0.26315789473684215,0,0.7566784224148169,2012-09-18,113037,0.0,1.0,0.0,1.0,0.0,0.0,2012,9,0.2222222222222222,11.6354793243498
Emp_11,0.5141828254847647,0,1.1010928158671687,2006-03-21,111241,0.0,0.0,1.0,0.0,0.0,0.0,2006,3,0.8888888888888888,11.61946328733047
Emp_12,0.9210526315789473,1,-0.44877195466841435,2014-12-21,72480,0.0,0.0,1.0,0.0,0.0,1.0,2014,12,0.0,11.191079737531176
Emp_13,0.605263157894737,1,1.2733000125933447,2017-03-17,114497,0.0,1.0,0.0,0.0,0.0,0.0,2017,3,-0.3333333333333333,11.64831263457497
Emp_14,0.052631578947368474,0,-0.27656475794223845,2022-02-27,69107,0.0,0.0,0.0,0.0,0.0,1.0,2022,2,-0.8888888888888888,11.143425777294672
Emp_15,0.5526315789473684,0,-0.44877195466841435,2019-07-14,66273,0.0,0.0,0.0,1.0,0.0,0.0,2019,7,-0.5555555555555556,11.101552942397598
Emp_16,0.026315789473684292,1,0.584471225688641,2007-01-12,93002,0.0,0.0,1.0,0.0,0.0,0.0,2007,1,0.7777777777777778,11.440387029679629
Emp_17,0.605263157894737,0,1.2733000125933447,2010-08-04,109247,1.0,0.0,0.0,0.0,1.0,0.0,2010,8,0.4444444444444444,11.601375806154113
Emp_18,0.763157894736842,1,1.6177144060456965,2006-11-11,124220,0.0,0.0,0.0,0.0,0.0,0.0,2006,11,0.8888888888888888,11.729817516314348
Emp_19,0.9736842105263157,1,1.6177144060456965,2011-10-04,136698,0.0,0.0,0.0,1.0,0.0,0.0,2011,10,0.3333333333333333,11.82553670739633
Emp_20,0.026315789473684292,1,0.2400568322362892,2015-02-15,101553,0.0,1.0,0.0,0.0,1.0,0.0,2015,2,-0.1111111111111111,11.528345955696105
Emp_21,0.5263157894736843,1,1.4455072093195205,2020-09-17,129738,0.0,1.0,0.0,0.0,1.0,0.0,2020,9,-0.6666666666666666,11.773280019014203
Emp_22,0.8421052631578947,1,0.584471225688641,2020-07-09,95703,1.0,0.0,0.0,0.0,0.0,1.0,2020,7,-0.6666666666666666,11.46901537385074
Emp_23,0.2894736842105263,0,1.1010928158671687,2008-09-20,115472,0.0,0.0,0.0,0.0,1.0,0.0,2008,9,0.6666666666666666,11.656792015382633
Emp_24,0.5526315789473684,0,-1.3098079382992938,2022-01-27,46654,0.0,0.0,0.0,0.0,1.0,0.0,2022,1,-0.8888888888888888,10.750535381668122
Emp_25,0.631578947368421,0,-0.6209791513945903,2005-03-04,67570,0.0,1.0,0.0,0.0,0.0,0.0,2005,3,1.0,11.120934175903928
Emp_26,0.6842105263157894,0,1.1010928158671687,2012-01-04,129131,0.0,0.0,0.0,1.0,0.0,0.0,2012,1,0.2222222222222222,11.768590415988392
Emp_27,0.7105263157894737,1,0.2400568322362892,2019-05-26,87392,0.0,0.0,1.0,0.0,0.0,1.0,2019,5,-0.5555555555555556,11.378170466902947
